,name,price,days,rooms,bathrooms,capacity,date,province
133,consultar direccion  piso 1,,,1,1,,25-11-2023,cordoba
134,intendente ernesto grant 100,130000,,,1,,25-11-2023,buenos-aires
135,almirante brown 2464 2400,30000,,1,,,25-11-2023,buenos-aires
136,quintana y boulevard maritimo 100,315,,4,3,,25-11-2023,buenos-aires
137,la rioja 2400 piso 2,20000,,,1,,25-11-2023,buenos-aires
138,la rioja 2000,40000,,2,1,,25-11-2023,buenos-aires
139,av guido spano 3500,220000,,1,1,,25-11-2023,buenos-aires
140,av patricio peralta ramos 3000,,,1,1,,25-11-2023,buenos-aires
141,giacobini 1800,,,,,,25-11-2023,buenos-aires
142,av eolo 100,,,,,,25-11-2023,buenos-aires
143,consultar direccion,,,,,,25-11-2023,buenos-aires
144,av nordelta,300000,,,1,,25-11-2023,buenos-aires
145,tortugas i santa rosa,1800,,3,,,25-11-2023,buenos-aires
146,pilara 100,1600,,2,,,25-11-2023,buenos-aires
147,champagnat,600,,2,,,25-11-2023,buenos-aires
148,avenida 1 200 piso 1,,,1,,,25-11-2023,buenos-aires
149,11 de septiembre 3000,60000,,2,1,,25-11-2023,buenos-aires
150,maipu 3200 piso 1,50,,2,,,25-11-2023,buenos-aires
151,terrazas de ayres,,,2,,,25-11-2023,buenos-aires
152,ruta 27 y canal aliviador 5200,680000,,1,,,25-11-2023,buenos-aires
153,solis 2300,1200,,1,,,25-11-2023,buenos-aires
154,av colon 3400,450,,1,1,,25-11-2023,cordoba
155,la rioja 100,,,1,,,25-11-2023,cordoba
156,prudencio bustos 100,,,2,1,,25-11-2023,cordoba
157,holbein 100,42000,,1,,,25-11-2023,cordoba
158,sol de mayo 400,20000,,2,1,,25-11-2023,cordoba
159,av colon 3400,20000,,1,1,,25-11-2023,cordoba
160,moreno 100,54000,,1,,,25-11-2023,cordoba
161,saavedra 100,30000,,1,,,25-11-2023,cordoba
162,isabel la catolica 400,45000,,2,,,25-11-2023,cordoba
163,tupungato 200,,,1,,,25-11-2023,cordoba
164,general deheza,,,1,,,25-11-2023,cordoba
165,general deheza,,,1,,,25-11-2023,cordoba
166,av hipolito yrigoyen 500,,,3,,,25-11-2023,cordoba
167,av colon 3400,,,2,2,,25-11-2023,cordoba
168,alberdi 100,38500,,1,,,25-11-2023,cordoba
169,san martin 600,,,2,,,25-11-2023,cordoba
170,av 24 de septiembre 1500 piso 2,25,,,,,25-11-2023,cordoba
171,gral juan jose viamonte 400 piso 7,400,,2,,,25-11-2023,cordoba
172,maipu 1000 piso 2,130000,,1,,,25-11-2023,cordoba
173,25 de mayo 2400 piso 1,50000,,,1,,25-11-2023,cordoba
174,libertador 2600 piso 4,240000,,1,1,,25-11-2023,buenos-aires
